Planner;Problem;Total_Time;Translation_Time;Search_Time;Plan_Cost;Plan_Length;Expanded;Translation_Memory;Search_Memory;Solution
fd-lama-first;all-for-estelle;15693.8;64.760;15629.052053;7;149;483661;923700;369816;1
fd-lama-first;complex;24882.7;195.290;24687.448665;10;190;195359;3454188;669712;1
fd-lama-first;full;4282.43;274.200;4008.226084;7;149;25157;3414596;588972;1
fd-lama-first;full-earth;434.649;87.490;347.159213;3;57;6873;3447548;570936;1
fd-lama-first;full-mirage;341.073;86.420;254.652582;2;38;5141;3440380;568112;1
fd-lama-first;full-water;334.371;87.030;247.341469;2;38;5130;3403200;572280;1
fd-lama-first;insert-1;0.589646;0.550;0.039646;1;19;80;61824;14208;1
fd-lama-first;very-difficult;28937.88;141.040;28796.8;infinity;infinity;219685;3136748;643716;0
fd-seq-sat-lama-2011;all-for-estelle;15297.3;78.760;15218.565330;7;149;483661;923700;427156;1
fd-seq-sat-lama-2011;all-for-estelle;15607.9;78.760;15529.136036;4;92;17789;923700;427156;2
fd-seq-sat-lama-2011;complex;19363.5;109.270;19254.201396;10;190;195359;3448044;868692;1
fd-seq-sat-lama-2011;full;5327.38;304.100;5023.279205;7;149;25157;3451600;787692;1
fd-seq-sat-lama-2011;full;10544.9;304.100;10240.771949;6;130;36451;3451600;787692;2
fd-seq-sat-lama-2011;full-earth;513.468;107.220;406.248275;3;57;6873;3393984;794412;1
fd-seq-sat-lama-2011;full-mirage;867.376;246.540;620.836259;2;38;5141;3447548;791252;1
fd-seq-sat-lama-2011;full-water;785.541;275.510;510.031017;2;38;5130;3400128;769980;1
fd-seq-sat-lama-2011;insert-1;0.589137;0.520;0.069137;1;19;80;61824;15668;1
fd-seq-sat-lama-2011;insert-1;0.592463;0.520;0.072463;1;19;0;61824;15668;2
fd-seq-sat-lama-2011;very-difficult;28902.63;106.520;28796.1;infinity;infinity;219685;3133676;828296;0
fd-lama-firstX;very-difficult;14452.8;68.910;14383.902969;16;304;622075;3141192;975984;1
