ProblemKind,Problem,Solver,Solved,Time,PlanLength,PlanCost,ExpandedNodes
snake,p07,seq-opt-fdss-1,0,1803.21,,,98374
snake,p06,lama-first,1,3.97,35,35,1750
snake,p04,lama-first,1,2.34,14,14,20
snake,p01,seq-sat-lama-2011,1,168.25,30,30,924
snake,p05,seq-sat-lama-2011,1,50.41,17,17,51
snake,p04,seq-sat-lama-2011,1,5.26,14,14,19
snake,p08,lama-first,0,1802.80,,,165
snake,p03,seq-opt-fdss-1,1,709.20,43,43,4001907
snake,p05,lama-first,1,2.13,17,17,49
snake,p04,seq-opt-fdss-1,1,430.94,12,12,13
snake,p02,lama-first,1,3.72,54,54,4726
snake,p01,lama-first,1,2.74,30,30,962
snake,p06,seq-opt-fdss-1,1,669.69,31,31,996881
snake,p03,lama-first,1,20.37,53,53,52113
snake,p09,seq-opt-fdss-1,1,667.59,20,20,4229
snake,p07,lama-first,1,783.34,87,87,1606960
snake,p02,seq-sat-lama-2011,1,1736.06,41,41,2135
snake,p08,seq-sat-lama-2011,0,1739.39,,,165
snake,p05,seq-opt-fdss-1,1,460.65,17,17,635
snake,p02,seq-opt-fdss-1,1,578.39,32,32,480009
snake,p01,seq-opt-fdss-1,1,523.56,24,24,9104
snake,p09,lama-first,1,2.67,20,20,69
snake,p08,seq-opt-fdss-1,0,1803.68,,,36040
snake,p10,lama-first,1,3.65,27,27,448
snake,p03,seq-sat-lama-2011,1,1737.10,53,53,52247
snake,p10,seq-opt-fdss-1,1,670.88,27,27,195671
snake,p06,seq-sat-lama-2011,1,1795.68,35,35,1750
snake,p09,seq-sat-lama-2011,1,69.92,27,27,48
snake,p07,seq-sat-lama-2011,0,1740.35,,,84
snake,p10,seq-sat-lama-2011,1,1737.70,27,27,448
tetris,p01-6,seq-sat-lama-2011,1,1732.62,49,86,1589
tetris,p02-8,seq-opt-fdss-1,0,1788.14,,,3163
tetris,p01-8,seq-opt-fdss-1,1,675.36,16,36,99161
tetris,p01-8,lama-first,1,4.43,36,75,5439
tetris,p03-4,seq-sat-lama-2011,1,9.57,9,11,827
tetris,p02-6,seq-sat-lama-2011,1,328.48,32,53,388
tetris,p02-4,lama-first,1,1.11,14,24,342
tetris,p03-10,seq-sat-lama-2011,1,1764.35,43,96,4729
tetris,p02-10,seq-sat-lama-2011,1,1734.71,51,98,21292
tetris,p01-6,seq-opt-fdss-1,1,812.40,18,30,1567933
tetris,p03-10,lama-first,1,13.85,51,119,7380
tetris,p02-4,seq-opt-fdss-1,1,655.74,6,10,43
tetris,p03-4,seq-opt-fdss-1,1,645.24,9,11,1062
tetris,p01-6,lama-first,1,2.49,42,79,8476
tetris,p03-4,lama-first,1,0.73,10,12,2130
tetris,p03-6,seq-opt-fdss-1,1,687.90,16,21,393915
tetris,p02-8,lama-first,1,4.97,30,69,3824
tetris,p03-10,seq-opt-fdss-1,0,1811.48,,,1088
tetris,p03-6,lama-first,1,2.59,31,43,6097
tetris,p01-8,seq-sat-lama-2011,1,336.94,25,53,279
tetris,p02-8,seq-sat-lama-2011,1,1762.24,38,73,4134
tetris,p02-4,seq-sat-lama-2011,1,1.89,6,10,9
tetris,p01-10,seq-sat-lama-2011,1,1752.65,37,53,18521
tetris,p02-6,lama-first,1,2.75,40,76,4560
tetris,p01-10,seq-opt-fdss-1,0,1777.60,,,6100
tetris,p03-6,seq-sat-lama-2011,1,1725.64,17,27,2861
tetris,p02-6,seq-opt-fdss-1,1,657.11,15,30,86893
tetris,p01-10,lama-first,1,207.47,43,60,1132267
tetris,p02-10,seq-opt-fdss-1,0,1797.31,,,3429
tetris,p02-10,lama-first,1,20.14,39,69,125107
